"","Speaker","ea_speaker_intercept","ia_speaker_intercept","oa_speaker_intercept","ua_speaker_intercept"
"1","K001M",0.132206046707254,-0.486914584284427,0.189932602837219,-0.0874241358870737
"2","K002M",0.560289357082653,0.622452212953578,0.288131850504695,0.466389769734469
"3","K003M",0.19859151221639,0.509145372906116,0.219556581352754,0.140616886583017
"4","K004M",-0.191533667887392,-0.00612647969703427,0.198818621965068,0.263011952660791
"5","K005M",0.161514167388813,0.099522768232976,0.0159369864109849,0.120551663387791
"6","K006M",-0.00580820096312236,0.0302275282258884,-0.289756509836308,-0.238448030874301
"7","K007M",-0.0880810712990616,0.0871898920050846,-0.097456312786567,0.176974080457462
"8","K008M",-0.303782844730687,-0.36235453075588,-0.206965666926221,-0.412251642893427
"9","K009M",-0.479743325313438,-0.52553604888059,-0.464393964436729,-0.372548995833086
"10","K010M",0.0163480267985636,0.0323938692942856,0.146195810915094,-0.0568715473355885
"11","L1H01M",0.0708048063211008,0.0309760808960165,0.228602217696515,0.065627279661901
"12","L1H02M",0.16089409951449,-0.192994006984559,0.144426691553195,0.0343050839472127
"13","L1H03M",-0.579155281243294,-0.0660797003707057,0.227064558348838,-0.0507128221248142
"14","L1H04M",0.390446432542592,0.316916982395538,0.115194530161656,-0.266381707532929
"15","L1H05M",-0.437558520267945,0.0329357288351922,-0.172563261805338,-0.0364138004416285
"16","L1H06M",0.394568463133046,-0.121755084771482,-0.542724735954866,0.253575966490285
"17","L1Y01M",0.922712685292137,0.725120513489416,0.189645942556268,-0.0217591147811802
"18","L1Y02M",-0.0828911007049294,0.0636973233725748,0.052473072238545,0.123947049489084
"19","L1Y03M",0.240800931927084,-0.00683719064590429,0.167331824361331,0.13941131402887
"20","L1Y04M",-0.359134194880708,-0.346611246909238,-0.086211448267225,-0.0501230676520949
"21","L1Y05M",-0.721488321633626,-0.435369399306851,-0.323239390888919,-0.191476181084661
"22","L2H01M",0.213308569766383,0.423933599116457,0.171986359083761,0.0957694890242173
"23","L2H02M",-0.269481296832468,-0.234486635962996,0.160671212519447,0.0925478644981104
"24","L2H03M",-0.131075397214977,0.343816172603865,-0.194661595879303,-0.059277462110013
"25","L2H04M",0.351582925637791,-0.0589380476461495,-0.103393855873306,-0.270294739132145
"26","L2H05M",-0.164334801356766,-0.474325088111174,-0.0346021198506001,0.14125484771983
"27","L2Y01M",0.248373516222567,0.292812875168397,0.0546136073210097,0.0713233343099466
"28","L2Y02M",0.0258681388744126,-0.534131546996609,0.142754030385079,0.121751667591258
"29","L2Y03M",0.822695763373598,0.361501418934699,0.25841257546646,0.297763664654955
"30","L2Y04M",-0.588002767295093,-0.378436545299049,-0.526479056480188,-0.446430705236679
"31","L2Y05M",-0.508934651175545,0.258253798192568,0.0706988433076409,-0.0444079613194632
"32","MU01M",0.189394184221125,0.517116981668072,0.340932132554108,0.333487564638495
"33","MU02M",-0.0826855979488634,0.215852272097626,0.118227368170699,-0.151985285351685
"34","MU03M",0.335207772438115,-0.643383157925432,-0.12051684239034,-0.148822028675129
"35","MU04M",-0.0854180205810889,-0.122337982465864,0.0802535265335931,0.210109778284956
"36","MU05M",-0.510285420413516,-0.188123119359409,0.00224651822323758,-0.169187784811093
"37","MU06M",-0.266830761700144,-0.113136624864498,0.1300465993256,-0.171270528880235
"38","MU07M",-0.302171006724558,-0.207341795341564,-0.42327489784144,0.263906975849594
"39","MU08M",0.627981654320099,0.904305458278966,0.0784104765688677,0.025954955955923
"40","MU09M",0.0447728581106605,-0.0984346803740016,-0.177734912811164,0.272547926405875
"41","MU10M",0.0101201705109895,0.0937998923797911,0.100198772268348,-0.307387813144807
"42","MU11M",0.0399141677670974,-0.358317244093759,-0.128788740601497,-0.157353760271893
"43","R001M",-0.497601710862943,-0.656014761741708,-0.0213257134830387,-0.159620479212148
"44","R002M",0.0984060341910532,0.42122050535743,-0.150346585051884,0.0429517940881395
"45","R003M",-0.328287957839484,-0.19285052611809,-0.188605853487422,-0.108332897171785
"46","R004M",0.140730094192031,-0.103666573836594,0.437488436625918,-0.167449497171771
"47","R005M",-0.64286717488226,-0.294965781559877,-0.0442345069619574,-0.101855856285206
"48","R006M",-0.0332525389244861,-0.367887536153101,-0.103788315334377,-0.41089071540143
"49","R007M",0.0735686968207571,-0.164443694822113,-0.0959989594395562,0.0405842449557486
"50","R008M",-0.60229394346052,-0.276361073810368,-0.673125588023851,-0.504222776316829
"51","R009M",-0.506883428721611,0.0505316514336138,-0.234936190435948,0.222651911949412
"52","R010M",0.283264154144045,0.396417997724142,-0.0774106338830571,0.396444545854432
"53","R011M",1.03759755647681,0.397047914863545,0.554204040893703,0.312224692555235
"54","R012M",0.977620218866624,0.790971878663115,0.598079868581449,0.43751503215628
"55","WU01M",0.0910731418472361,-0.36449855711048,0.129381881906819,0.0127422996438911
"56","WU02M",0.0828215793939463,0.0409569684110657,-0.0586888826723799,-0.18434177956431
"57","WU03M",0.00610068728240904,0.0320063693575337,0.198695272257969,-0.0126212988883544
"58","WU04M",-0.323820374898558,-0.299291219650531,-0.0413972629714539,0.134811983097589
"59","WU06M",-0.292303670007003,-0.509280427004339,-0.387492321510941,-0.453641354297423
"60","WU07M",0.631692887994364,0.518744825939238,0.404722144398786,0.279128980207319
"61","WU08M",-0.195564251612432,0.581362040057446,-0.245220831408795,0.223921169801319
